bucket,D,R
5 - 10,5.0,10.0
10 - 15,8.0,15.0
15 - 20,13.0,23.0
20 - 25,10.0,15.0
25 - 30,23.0,30.0
30 - 35,21.0,32.0
35 - 40,21.0,28.0
40 - 45,14.0,10.0
45 - 50,12.0,9.0
50 - 55,8.0,3.0
55 - 60,2.0,1.0
70 - 75,2.0,1.0
