year,share_D,share_R
2004,0.464367816092,0.535632183908
2006,0.531034482759,0.468965517241
2008,0.590804597701,0.409195402299
2010,0.44367816092,0.55632183908
2012,0.462068965517,0.537931034483
2014,0.432183908046,0.567816091954
