year,share_D,share_R
2004,0.485877246443,0.514122753557
2006,0.539204693033,0.460795306967
2008,0.556367912981,0.443632087019
2010,0.465198459408,0.534801540592
2012,0.504282427824,0.495717572176
2014,0.471547962513,0.528452037487
