bucket,D,R
0 - 5,13.0,14.0
5 - 10,7.0,15.0
10 - 15,17.0,18.0
15 - 20,15.0,23.0
20 - 25,11.0,25.0
25 - 30,22.0,24.0
30 - 35,18.0,19.0
35 - 40,11.0,11.0
40 - 45,12.0,5.0
45 - 50,15.0,5.0
50 - 55,9.0,3.0
55 - 60,3.0,1.0
65 - 70,3.0,1.0
