bucket,D,R
0 - 5,19.0,15.0
5 - 10,13.0,18.0
10 - 15,11.0,30.0
15 - 20,10.0,29.0
20 - 25,11.0,35.0
25 - 30,19.0,22.0
30 - 35,14.0,22.0
35 - 40,16.0,13.0
40 - 45,11.0,7.0
45 - 50,17.0,8.0
50 - 55,10.0,4.0
55 - 60,8.0,4.0
60 - 65,5.0,0.0
65 - 70,6.0,0.0
70 - 75,2.0,0.0
75 - 80,4.0,0.0
80 - 85,2.0,0.0
85 - 90,0.0,0.0
90 - 95,1.0,0.0
