PARTY,,
winner,D,R
bucket,,
"[0, 5]",14.0,10.0
"(5, 10]",7.0,8.0
"(10, 15]",8.0,11.0
"(15, 20]",12.0,12.0
"(20, 25]",15.0,17.0
"(25, 30]",14.0,25.0
"(30, 35]",19.0,19.0
"(35, 40]",23.0,29.0
"(40, 45]",14.0,26.0
"(45, 50]",16.0,16.0
"(50, 55]",7.0,6.0
"(55, 60]",4.0,7.0
"(60, 65]",4.0,0.0
"(65, 70]",6.0,0.0
"(70, 75]",2.0,0.0
"(75, 80]",3.0,0.0
"(80, 85]",2.0,0.0
