PARTY,,
winner,D,R
bucket,,
"[0, 5]",19.0,10.0
"(5, 10]",14.0,7.0
"(10, 15]",15.0,14.0
"(15, 20]",15.0,25.0
"(20, 25]",15.0,32.0
"(25, 30]",12.0,29.0
"(30, 35]",10.0,32.0
"(35, 40]",11.0,21.0
"(40, 45]",6.0,16.0
"(45, 50]",8.0,13.0
"(50, 55]",5.0,4.0
"(55, 60]",8.0,3.0
"(60, 65]",3.0,1.0
"(65, 70]",4.0,1.0
"(70, 75]",2.0,1.0
"(75, 80]",3.0,0.0
