bucket,D,R
0 - 5,15.0,23.0
5 - 10,9.0,10.0
10 - 15,8.0,19.0
15 - 20,3.0,10.0
20 - 25,11.0,22.0
25 - 30,19.0,21.0
30 - 35,19.0,23.0
35 - 40,22.0,18.0
40 - 45,13.0,7.0
45 - 50,3.0,1.0
50 - 55,6.0,3.0
55 - 60,1.0,1.0
