bucket,D,R
0 - 5,25.0,24.0
5 - 10,15.0,24.0
10 - 15,25.0,22.0
15 - 20,15.0,13.0
20 - 25,19.0,12.0
25 - 30,15.0,23.0
30 - 35,12.0,30.0
35 - 40,7.0,26.0
40 - 45,13.0,19.0
45 - 50,10.0,12.0
50 - 55,8.0,5.0
55 - 60,3.0,3.0
60 - 65,5.0,3.0
65 - 70,5.0,1.0
70 - 75,3.0,0.0
75 - 80,2.0,0.0
80 - 85,2.0,0.0
85 - 90,0.0,0.0
90 - 95,1.0,0.0
