bucket,D,R
0 - 5,87.0,74.0
5 - 10,71.0,93.0
10 - 15,87.0,117.0
15 - 20,68.0,142.0
20 - 25,74.0,161.0
25 - 30,110.0,151.0
30 - 35,97.0,156.0
35 - 40,102.0,121.0
40 - 45,75.0,68.0
45 - 50,95.0,53.0
50 - 55,64.0,22.0
55 - 60,37.0,15.0
60 - 65,26.0,4.0
65 - 70,27.0,4.0
70 - 75,23.0,2.0
75 - 80,19.0,1.0
80 - 85,9.0,1.0
85 - 90,5.0,0.0
90 - 95,4.0,0.0
